Scene	Core Word	Chinese Meaning	Level	L2 Phrase EN	L2 Phrase ZH	L3 Sentence 1	L3 Sentence 2	L3 Sentence 3	L4 Sentence 1	L4 Sentence 2	L4 Sentence 3
生活起居 Daily Routines	wake	醒来	L1	Wake up!	醒来！	Wake up early.	Wake up slowly.	Wake up, sleepyhead!	Wake up when Mommy calls you.	Wake up and stretch before you get out of bed.	Wake up early so we have time for breakfast.
生活起居 Daily Routines	open	打开	L1	Open your eyes!	打开门！	Open the window.	Open the book.	Open the door.	Open the book to the next page.	Open the box when Mommy says, "Go!"	Open the window before we read the story.
生活起居 Daily Routines	close	关闭	L1	Close the door!	关上门！	Close the window.	Close the book.	Close your eyes.	Close the book when the story is finished.	Close the window before you go to bed.	Close the box and put it on the shelf.
生活起居 Daily Routines	drink	喝	L1	Drink some water!	喝点水！	Drink your milk.	Drink some juice.	Drink from your cup.	Drink your milk before you eat breakfast.	Drink some water when you feel thirsty.	Drink from your cup and then put it on the table.
生活起居 Daily Routines	wash	洗	L1	Wash your hands!	洗洗手！	Wash your face.	Wash the cup.	Wash your hands.	Wash your hands before you eat.	Wash the cup and put it by the sink.	Wash your face after you brush your teeth.
生活起居 Daily Routines	hug	拥抱	L1	Hug Mommy!	抱抱妈妈！	Hug Daddy.	Hug your teddy bear.	Give me a hug.	Hug Teddy before you go to bed.	Give Mommy a hug when you see her.	Hug your teddy bear and sit on the bed.
生活起居 Daily Routines	kiss	亲吻	L1	Kiss Mommy!	亲亲妈妈！	Kiss Daddy.	Kiss your teddy bear.	Give me a kiss.	Kiss Teddy before you go to bed.	Give Mommy a kiss when she comes home.	Kiss Teddy good night and turn off the light.
生活起居 Daily Routines	lie down	躺下	L1	Lie down on the mat!	躺在垫子上！	Lie down on the bed.	Lie down on the mat.	Lie down here.	Lie down on the bed before the story starts.	Lie down on the mat and close your eyes.	Lie down here when you are ready to rest.
生活起居 Daily Routines	blink	眨眼	L1	Blink your eyes!	眨眨眼！	Blink slowly.	Blink three times.	Blink your left eye.	Blink three times when you hear the bell.	Blink your eyes and then close them.	Blink your left eye when Mommy points to it.
生活起居 Daily Routines	sit	坐	L1	Sit down!	坐下来！	Sit on the chair.	Sit on the floor.	Sit beside Mommy.	Sit on the mat while we read the book.	Sit beside Mommy when you are ready.	Sit on the chair and wait for Daddy.
